,Accuracy,Precision,Specificity,Recall,Macro-F1,Training_Seconds,Prediction_Seconds
mean,0.9516258144213785,0.8432159516643388,0.9796372761846166,0.7571999906448067,0.885155378823724,2.083388441800001,0.027412141599999627
std,0.0041641804335849795,0.026250575389969947,0.003922222834856025,0.009717592743978248,0.008891536384276439,0.16277863443971297,0.0008169499441972253
