,Fold,Accuracy,Precision,Specificity,Recall,Macro-F1,NonAbusive_Precision,NonAbusive_Recall,NonAbusive_F1,Abusive_Precision,Abusive_Recall,Abusive_F1,TN,FP,FN,TP
mean,3.0,0.8740678196343181,0.0,1.0,0.0,0.4664013792571236,0.8740678196343181,1.0,0.9328027585142472,0.0,0.0,0.0,3516.2,0.0,506.6,0.0
std,1.5811388300841898,0.0001280617226877751,0.0,0.0,0.0,3.6461732045622934e-05,0.0001280617226877751,0.0,7.292346409124587e-05,0.0,0.0,0.0,0.44721359549995787,0.0,0.5477225575051662,0.0
