,Split,Accuracy,Precision,Specificity,Recall,Macro-F1,NonAbusive_Precision,NonAbusive_Recall,NonAbusive_F1,Abusive_Precision,Abusive_Recall,Abusive_F1,TN,FP,FN,TP
mean,8.0,0.952553848851616,0.8394833981165994,0.9787271133038303,0.7708892371099729,0.8883264623730367,0.9673760134490547,0.9787271133038303,0.9730166245384021,0.8394833981165994,0.7708892371099729,0.8036363002076709,3441.4,74.8,116.06666666666666,390.53333333333336
std,4.47213595499958,0.002806118507298022,0.016060523583621367,0.002469819699517921,0.012430460151247933,0.006359146183754858,0.0017191103015252646,0.002469819699517921,0.0016086362908167623,0.016060523583621367,0.012430460151247933,0.011138144443468183,8.575713214821095,8.686607096970766,6.284523696767966,6.368075137149448
