probability_bin,Count,Abusive_Rate,Mean_Probability
"(-0.001, 0.5]",17799,0.03264228327434125,0.048133384881361714
"(0.5, 0.6]",219,0.6575342465753424,0.5575045264260083
"(0.6, 0.7]",424,0.7429245283018868,0.6565315340932409
"(0.7, 0.8]",734,0.8542234332425068,0.7563547277177131
"(0.8, 0.9]",783,0.9157088122605364,0.847541078007812
"(0.9, 1.0]",155,0.9612903225806452,0.9266451612903226
