Fold,Accuracy,Precision,Specificity,Recall,Macro-F1,NonAbusive_Precision,NonAbusive_Recall,NonAbusive_F1,Abusive_Precision,Abusive_Recall,Abusive_F1,TN,FP,FN,TP,Training_Seconds,Prediction_Seconds
1,0.947800149142431,0.8217391304347826,0.9766846744384419,0.7470355731225297,0.8764738393515107,0.9640752175133315,0.9766846744384419,0.9703389830508474,0.8217391304347826,0.7470355731225297,0.782608695652174,3435,82,128,378,2.451044208,0.03888762500000009
2,0.9552572706935123,0.8577680525164114,0.9815130830489193,0.7731755424063116,0.8939307296506485,0.9677509814918677,0.9815130830489193,0.9745834510025416,0.8577680525164114,0.7731755424063116,0.8132780082987552,3451,65,115,392,2.103797666,0.02816579100000105
3,0.9465572955505841,0.809322033898305,0.9744027303754266,0.7534516765285996,0.8749825289621749,0.9647986482680935,0.9744027303754266,0.9695769067496817,0.809322033898305,0.7534516765285996,0.780388151174668,3426,90,125,382,1.9535027500000002,0.04027720799999912
4,0.9552572706935123,0.8707482993197279,0.9837883959044369,0.757396449704142,0.8923836630749971,0.9656616415410385,0.9837883959044369,0.9746407438715131,0.8707482993197279,0.757396449704142,0.810126582278481,3459,57,123,384,1.887759625000001,0.027668625000000446
5,0.9532570860268523,0.8565022421524664,0.981797497155859,0.7549407114624506,0.8880061330792892,0.9653243847874721,0.981797497155859,0.9734912577552172,0.8565022421524664,0.7549407114624506,0.8025210084033614,3452,64,124,382,1.9056975409999986,0.03910450000000054
