Model,Accuracy,Precision,Specificity,Recall,Macro-F1,Training_Seconds,Prediction_Seconds
RF,0.9516258144213785,0.8432159516643386,0.9796372761846166,0.7571999906448067,0.885155378823724,1.5937131665999686,0.02959652500003358
LR,0.9443671662678534,0.7611285126368925,0.9631989818346967,0.8136515658254788,0.8772463062217832,0.20965975839999373,0.0006731088000378804
SVM,0.9426270723548449,0.770707555296805,0.966782405498015,0.7749623843269328,0.8699873652881271,61.147491425,11.098490091799999
GB,0.9345729979025379,0.8319595438833993,0.9824243080011502,0.6024401462528554,0.8310092056660959,72.01843794180004,0.03585073320000447
NB,0.9302972230905511,0.7965213564420361,0.9779307915429785,0.5996733478338829,0.8224778964808227,0.0039793502000065924,0.002042167000013251
KNN,0.8743163285499229,0.6139682539682539,0.9984072971748145,0.013027106672591621,0.47904622006847486,0.0020748334000018076,0.9290214333999757
