,Accuracy,Accuracy,Precision,Precision,Specificity,Specificity,Recall,Recall,Macro-F1,Macro-F1,Feature_Fit_Transform_Seconds,Feature_Fit_Transform_Seconds,Training_Seconds,Training_Seconds,Prediction_Seconds,Prediction_Seconds
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Experiment,,,,,,,,,,,,,,,,
Baseline_Word_TFIDF,0.9446653398849207,0.002208697366944168,0.8815803572933577,0.017302724797105578,0.9874295110729843,0.0021327932612074914,0.6478471361414505,0.009581668834529208,0.857854554501223,0.005237407021643816,0.4060635333999999,0.008283598008038434,0.7334875502,0.06992992202801279,0.03415071679999988,0.004069248853088
E1_Character_TFIDF,0.9514269825677888,0.0038152412838926455,0.8413363866343563,0.0236725578920778,0.9793528297303233,0.00356614849344099,0.7575952475618027,0.008467071764188828,0.8847988199660044,0.008142777362809725,2.2854675666,0.06455442792598441,1.7588572416000001,0.0660699844213168,0.03473979180000057,0.0056390255932272345
E2_Hybrid_Word_Character,0.9516258144213785,0.004164180433584982,0.8432159516643386,0.026250575389969926,0.9796372761846166,0.0039222228348560605,0.7571999906448067,0.009717592743978242,0.885155378823724,0.008891536384276427,2.7422460669999986,0.09683704276577504,1.6062386666000017,0.02104040180161879,0.032227308200000235,0.006708540564170655
E3_Hybrid_Lexical,0.9510291705339746,0.004121540229470588,0.8439784641027774,0.027367200415711022,0.9799217064652332,0.004073717508104178,0.7504860802519666,0.009149605615666412,0.8832803203353847,0.008746707412331124,3.2862721165999984,0.026434574087541008,1.6152679329999997,0.07221613990716094,0.029269991600001787,0.003939138141179609
E4_Hybrid_Lexical_Punctuation_Emoji,0.9507805998156054,0.0038016207374231246,0.8418726609404048,0.02279623870995973,0.9796371953162326,0.003362118609879232,0.7504860802519666,0.011675906982944252,0.882765786654439,0.008403035135342614,3.2483864417999997,0.016463245981055,1.5136644249999989,0.0436127864249145,0.029349424999998062,0.00457319349457749
E5_Hybrid_Lexical_Punctuation_Emoji_Lexicon,0.9513772437030091,0.0032847359112404178,0.8439426218216276,0.02160972045191034,0.9798648074701685,0.0032311938949024697,0.753648135587935,0.00783339253568495,0.8842756772098257,0.006960994149915476,3.2601664916000033,0.012580880858754868,1.5532097829999998,0.0741659532247912,0.033986874999999375,0.006349654081070769
E6_Add_Sentiment,0.9510292323367391,0.0030878094111023513,0.8485515588942547,0.023417151182009967,0.9807748355703145,0.003543317356677202,0.744568920488653,0.005307974092020547,0.8826311887891342,0.006161299399381576,4.655662825199994,0.023423102406155655,1.4867060665999958,0.04528252204681481,0.027279916800006278,0.0007265193824163864
E7_Full_Feature_Configuration,0.950034912381603,0.0038209260218367257,0.8459438025360437,0.025786476897302013,0.9805473204584396,0.003839126432283118,0.7382487078139253,0.010327090326243876,0.8799852682388847,0.008165055161729344,10.8326079666,0.034853957705309385,1.4791772417999993,0.0471874276713762,0.029556100000002063,0.004826840875805907
