,Accuracy,Precision,Specificity,Recall,Macro-F1
A,0.9446156504623527,0.8927777918376701,0.988965250208398,0.6367939752555137,0.8561433278137013
B,0.94496382251581,0.7751646542236663,0.9668392397983725,0.7931293901193566,0.8762310592368472
C,0.9442180361973846,0.7766385728430022,0.9675786679553854,0.7820770088328617,0.8736905193046564
D,0.9451624813216595,0.8862554776646316,0.9879982907658332,0.6478447973431252,0.8588404837873107
E,0.9447150663891476,0.8941842538911409,0.9891358986725617,0.6363987183385176,0.8562825338875438
