,Accuracy,Precision,Specificity,Recall,Macro-F1
SVM,0.9369593386016482,0.7270884943729766,0.9566578293696504,0.8002362186308675,0.8627478132263795
KNN,0.8763050797051711,0.7242225095166271,0.9980660487675174,0.031188655268922828,0.4965609237922789
LR,0.9405390906810949,0.7409038817441151,0.959103677473594,0.8116830772349166,0.8702100593766898
NB,0.8971860954162991,0.947910433470741,0.9984642770382633,0.19423798052560595,0.6333830227354531
GB,0.9313414178765484,0.8444620168739728,0.9852113721650374,0.5574463440684176,0.8165902958096819
RF,0.9493885790716309,0.8179511083595511,0.9752003029006195,0.7702169625246549,0.8820956922584319
