,Accuracy,Precision,Specificity,Recall,Macro-F1
SVM,0.9369846881444254,0.7314039279781605,0.9579849227410498,0.7911577831310274,0.8618118098578025
KNN,0.8764536878110221,0.724494242141301,0.9984649399659219,0.0292139298828262,0.49494140867465647
LR,0.9415568576120913,0.7507534350330702,0.9614530123562917,0.8033943759696267,0.8711985894586789
NB,0.9006561624044555,0.9419156600951564,0.9980101684290533,0.2246330035627695,0.6544006044509204
GB,0.9345493128187398,0.847234742069717,0.9847061369910755,0.5862572210398298,0.8280796784929674
RF,0.9478185298148993,0.8016099661763116,0.9721415497826442,0.7789313250851713,0.880083410891492
